                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                0.86949,                0.55952,                 1.0822,                0.81412,                0.87396,                0.84934,                0.54172,                 1.2457,                0.73074,                 1.3707,              0.0087526,              0.0087526,              0.0087526
                    129,                0.86212,                0.55383,                 1.0757,                0.79172,                0.90711,                 0.8566,                0.55478,                 1.2501,                0.74589,                 1.3646,              0.0087427,              0.0087427,              0.0087427
                    130,                 0.8517,                0.55416,                 1.0771,                0.88903,                0.88491,                0.90834,                0.58524,                 1.2441,                0.63619,                  1.369,              0.0087328,              0.0087328,              0.0087328
                    131,                0.85284,                0.55045,                 1.0773,                0.85052,                0.86948,                0.87019,                0.56661,                 1.2315,                0.69449,                 1.3839,              0.0087229,              0.0087229,              0.0087229
                    132,                0.84848,                0.54898,                 1.0788,                0.84332,                0.89257,                 0.8785,                0.57302,                 1.2328,                0.69034,                 1.3674,               0.008713,               0.008713,               0.008713
                    133,                0.85052,                0.54488,                 1.0763,                0.85413,                0.87562,                0.87294,                0.57151,                 1.2248,                0.67346,                 1.3835,              0.0087031,              0.0087031,              0.0087031
                    134,                0.84146,                0.54402,                 1.0773,                0.82919,                0.82825,                0.83184,                0.52275,                 1.2817,                0.78213,                 1.4094,              0.0086932,              0.0086932,              0.0086932
                    135,                0.83772,                0.53923,                 1.0671,                0.85157,                0.89077,                0.88621,                0.57734,                 1.2337,                0.65915,                 1.3837,              0.0086833,              0.0086833,              0.0086833
                    136,                0.83924,                0.54975,                 1.0696,                0.80547,                0.87423,                0.85979,                0.56125,                  1.228,                0.71274,                 1.3708,              0.0086734,              0.0086734,              0.0086734
                    137,                0.84084,                0.53564,                 1.0703,                0.83772,                0.83572,                0.83651,                0.54948,                 1.2234,                0.72153,                 1.3709,              0.0086635,              0.0086635,              0.0086635
                    138,                0.84023,                0.54199,                 1.0793,                0.85678,                0.87394,                0.87873,                0.56448,                 1.2346,                0.66252,                 1.3762,              0.0086536,              0.0086536,              0.0086536
                    139,                0.83059,                0.53796,                 1.0717,                0.79939,                 0.8888,                0.85297,                0.54819,                 1.2654,                0.70587,                  1.403,              0.0086437,              0.0086437,              0.0086437
                    140,                0.81775,                0.53239,                 1.0609,                0.83069,                0.89535,                0.86713,                0.55646,                 1.2523,                0.70101,                 1.3873,              0.0086338,              0.0086338,              0.0086338
                    141,                0.82379,                0.52839,                 1.0631,                0.82502,                0.88216,                0.84923,                 0.5524,                 1.2365,                0.72938,                 1.3769,              0.0086239,              0.0086239,              0.0086239
                    142,                0.82027,                0.52407,                 1.0601,                0.83719,                0.88786,                0.88616,                0.58313,                 1.2294,                0.67345,                 1.3765,               0.008614,               0.008614,               0.008614
                    143,                0.83274,                0.53873,                 1.0729,                0.86924,                0.86348,                0.88779,                0.58581,                 1.2118,                0.63641,                  1.358,              0.0086041,              0.0086041,              0.0086041
                    144,                0.81777,                0.52688,                  1.064,                0.82887,                0.88499,                0.85791,                0.55875,                 1.2406,                0.67399,                 1.3857,              0.0085942,              0.0085942,              0.0085942
                    145,                0.83207,                0.53365,                 1.0641,                0.85653,                 0.8697,                0.87773,                0.57686,                 1.2138,                0.65389,                 1.3615,              0.0085843,              0.0085843,              0.0085843
                    146,                  0.816,                0.52602,                 1.0665,                0.82486,                0.89257,                0.88424,                0.57554,                 1.2363,                0.66266,                 1.3739,              0.0085744,              0.0085744,              0.0085744
                    147,                0.82275,                0.52875,                 1.0612,                0.84784,                0.89939,                0.89049,                0.57499,                 1.2431,                0.62394,                 1.3673,              0.0085645,              0.0085645,              0.0085645
                    148,                0.81178,                0.52235,                 1.0539,                0.81181,                0.83434,                0.81397,                0.53049,                 1.2185,                0.80038,                 1.3778,              0.0085546,              0.0085546,              0.0085546
